Parameter,Short Name,CAN ID,DID,UDS Request Payload,Vehicle Model,Source
1_Niro_Cell Voltage 06,Cell 06,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 07,Cell 07,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 08,Cell 08,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 09,Cell 09,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 10,Cell 10,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 11,Cell 11,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 12,Cell 12,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 13,Cell 13,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 14,Cell 14,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 15,Cell 15,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 16,Cell 16,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 17,Cell 17,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 18,Cell 18,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 19,Cell 19,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 20,Cell 20,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 21,Cell 21,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 22,Cell 22,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
1_Niro_Cell Voltage 23,Cell 23,7E4,0x2102,03 22 21 02 00 00 00 00,Kia_Niro_PHEV_,{'https://github.com/JejuSoul/OBD-PIDs-for-HKMC-EVs/tree/master/Kia%20Niro%20PHEV%20-%208.9kWh'}
